"All","Tất Cả"
"Remember me for next time","Hãy nhớ tôi cho lần sau"
"Not registered? Create your ASICS ID","Chưa đăng ký? Tạo ID ASICS của bạn"
"LOGIN WITH {{third_party}}","ĐĂNG NHẬP BẰNG {{third_party}}"
"<p>We have an account with this email that was created using a password.</p><p>To add {{third_party}} as an authentication method please confirm by entering your ASICS ID password.</p>","<p>Chúng tôi có tài khoản với email này được tạo bằng mật khẩu.</p><p>Để thêm {{third_party}} làm phương thức xác thực, vui lòng xác nhận bằng cách nhập mật khẩu ID ASICS của bạn.</p>"
"<p>We have an account with this email address that is currently linked using {{origin}}.</p><p>Would you like to also link this account using {{new_type}} or retry your login using {{origin}}?</p>","<p>Chúng tôi có một tài khoản với địa chỉ email này hiện được liên kết bằng {{origin}}.</p><p>Bạn cũng muốn liên kết tài khoản này bằng {{new_type}} hoặc thử đăng nhập lại bằng {{ nguồn gốc}}?</p>"
"Send Reset Link","Gửi liên kết đặt lại"
"A password reset link has been sent to {{email}}.","Liên kết đặt lại mật khẩu đã được gửi tới {{email}}."
"You used {{third_party}} when you created this account. Please login with {{third_party}}.","Bạn đã sử dụng {{third_party}} khi tạo tài khoản này. Vui lòng đăng nhập bằng {{third_party}}."
"Password Reset Email Sent","Đã gửi email đặt lại mật khẩu"
"We sent you an email to reset your password, please check your inbox.","Chúng tôi đã gửi cho bạn một email để đặt lại mật khẩu, vui lòng kiểm tra hộp thư đến của bạn."
"Having trouble signing in?","Gặp sự cố đăng nhập?"
"Enter your email address, so we can send you an email from which you can reset your password.","Nhập địa chỉ email của bạn, để chúng tôi có thể gửi cho bạn một email mà từ đó bạn có thể đặt lại mật khẩu của mình."
"<p>So sad to see you go.</p><p>We hope you’ll be back some time in the future!</p>","<p>Thật buồn khi thấy bạn ra đi.</p><p>Chúng tôi hy vọng bạn sẽ quay lại vào một thời điểm nào đó trong tương lai!</p>"
"ASICS Terms of Use","Điều khoản sử dụng của ASICS"
"Please sign in to delete your account.","Vui lòng đăng nhập để xóa tài khoản của bạn."
"<a href=""https://runkeeper.com/login?redirectUrl=%2Fdelete-account"">Delete <strong>ASICS Runkeeper</strong> account and data</a>","<a href=""https://runkeeper.com/login?redirectUrl=%2Fdelete-account"">Xóa dữ liệu và tài khoản <strong>ASICS Runkeeper</strong></a>"
"<a href=""https://my.asics.com/app_en/settings/edit#/profile"">Go to <strong>MY ASICS</strong> profile to delete account and data</a>","<a href=""https://my.asics.com/app_en/settings/edit#/profile"">Truy cập hồ sơ <strong>MY ASICS</strong> để xóa tài khoản và dữ liệu</a>"
"<a href=""https://www.asics.com/us/en-us/my-account/profile"">Go to <strong>asics.com</strong> profile to delete account and data</a>","<a href=""https://www.asics.com/us/en-us/my-account/profile"">Truy cập hồ sơ <strong>asics.com</strong> để xóa tài khoản và dữ liệu</a>"
"<a href=""https://support.studio.asics.com/hc/en-us/requests/new"">Submit request to delete <strong>ASICS Studio</strong> account and data</a>","<a href=""https://support.studio.asics.com/hc/en-us/requests/new"">Gửi yêu cầu xóa dữ liệu và tài khoản <strong>ASICS Studio</strong></a>"
"If you want to delete your user data from a specific ASICS service and leave your ASICS account intact, use the following links:","Nếu bạn muốn xóa dữ liệu người dùng của mình khỏi một dịch vụ ASICS cụ thể và giữ nguyên tài khoản ASICS của mình, hãy sử dụng các liên kết sau:"
"If you want to delete your user data from <strong>all ASICS services</strong>, click the button below.","Nếu bạn muốn xóa dữ liệu người dùng của mình khỏi <strong>tất cả các dịch vụ ASICS</strong>, hãy nhấp vào nút bên dưới."
"The following user and the associated data will be deleted from our servers:","Người dùng sau và dữ liệu được liên kết sẽ bị xóa khỏi máy chủ của chúng tôi:"
"<p>You will lose access to other ASICS services including:</p><ul><li>ASICS E-Commerce</li><li>ASICS Tiger</li><li>Onitsuka Tiger</li><li>OneASICS</li><li>ASICS Studio</li><li>ASICS Runkeeper</li><li>My ASICS</li><li>Pace Your Race</li><li>Frontrunners</li></ul><p>All of your data for these services will be removed. <strong>Please click the button below to confirm this deletion.</strong></p>","<p>Bạn sẽ mất quyền truy cập vào các dịch vụ khác của ASICS bao gồm:</p><ul><li>Thương mại điện tử ASICS</li><li>ASICS Tiger</li><li>Onitsuka Tiger</li>< li>OneASICS</li><li>ASICS Studio</li><li>ASICS Runkeeper</li><li>ASICS của tôi</li><li>Tốc độ cuộc đua của bạn</li><li>Những người dẫn đầu</li> li></ul><p>Tất cả dữ liệu của bạn cho các dịch vụ này sẽ bị xóa. <strong>Vui lòng nhấp vào nút bên dưới để xác nhận việc xóa này.</strong></p>"
"Sales Force Commerce Cloud - Dev 08","Đám mây thương mại Salesforce - Nhà phát triển 08"
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Runkeeper <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Bằng cách nhấp vào bên dưới, tôi xác nhận rằng tôi đã đọc và hiểu <a href=""{{privacy_url}}"" target=""_blank"">Chính sách quyền riêng tư</a> hiện hành và tôi đồng ý với Runkeeper <a href =""{{terms_url}}"" target=""_blank"">Điều khoản và điều kiện</a>."
"Runkeeper would like to access your ASICS account information:","Runkeeper muốn truy cập thông tin tài khoản ASICS của bạn:"
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Haglöfs <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Bằng cách nhấp vào bên dưới, tôi xác nhận rằng tôi đã đọc và hiểu <a href=""{{privacy_url}}"" target=""_blank"">Chính sách quyền riêng tư</a> hiện hành và tôi đồng ý với <a href của Haglöfs =""{{terms_url}}"" target=""_blank"">Điều khoản và điều kiện</a>."
"Haglofs would like to access your ASICS account information:","Haglofs muốn truy cập thông tin tài khoản ASICS của bạn:"
"Or <a href=""{{register_url}}"">create a new ASICS account</a>","Hoặc <a href=""{{register_url}}"">tạo tài khoản ASICS mới</a>"
"ASICS Studio would like to access your ASICS account information:","ASICS Studio muốn truy cập thông tin tài khoản ASICS của bạn:"
"ASICS would like to access your ASICS account information:","ASICS muốn truy cập thông tin tài khoản ASICS của bạn:"
"The application would like to access your ASICS account information:","Ứng dụng muốn truy cập thông tin tài khoản ASICS của bạn:"
"SEE MORE","Xem thêm"
"Please enter city or postcode here","Vui lòng nhập thành phố hoặc mã bưu điện ở đây"
"STORE FINDER","Hệ thống cửa hàng"
"New Arrivals","Sản phẩm mới"
"View Store Details","Thông tin cửa hàng"
"Get Directions","Chỉ đường"
"We're sorry, no products were found for your search: ","Không có kết quả phù hợp cho từ khóa:"
Search Results, Kết quả tìm kiếm
Try your search again using these tips:,Vui lòng thử lại bằng các mẹo sau:
Double check the spelling,Kiểm tra lại chính tả
Change your search query,Thay đổi truy vấn tìm kiếm của bạn
Use a more general term,Đổi sang từ khóa khác mang tính bao quát hơn
CHANGE LOCATION,THAY ĐỔI VỊ TRÍ
Store Detail, Thông tin cửa hàng
Search results for:,Kết quả tìm kiếm cho:
"Search results for: '%1'","Kết quả tìm kiếm cho: '%1'"
Contact Number,Số điện thoại
• Faster checkout,• Thanh toán nhanh hơn
• Fuss-free returns,• Trả hàng dễ dàng
• Order history tracking,• Theo dõi lịch sử đơn hàng
Quick Purchase,Mua Ngay
Official Onitsuka Tiger Store,Cửa hàng Onitsuka Tiger chính hãng
No Details found for the specified OrderNo and Email/MobileNo,Không có thông tin cho Đơn Hàng và Email/Số Điện Thoại Di Động đã chỉ định.
Order ID and Email is Mandatory,ID Đơn Hàng và Email là Bắt Buộc
Enter Your Order ID,Nhập ID Đơn Hàng
Shipped Qty,Đã Giao
Sub Total,Tổng Phụ
Logistics,Logistics
Your Shopping Cart is Empty,Giỏ hàng của bạn đang trống
RECOMMENDED FOR YOU,CÓ THỂ BẠN SẼ THÍCH
Place Order,Đặt hàng
Have an Onitsuka Tiger ID? login here,Bạn có tài khoản Onitsuka Tiger? Đăng nhập tại đây
OR,HOẶC
create an id,Tạo tài khoản
Details,Thông tin
Payments,Thanh toán
Your Shipping Information,Thông tin giao hàng của bạn
Email Address,Địa chỉ Email
Postal Code,Mã bưu điện
save and continue,Lưu và tiếp tục
Place Your Order,Đặt hàng
RECEIVED,ĐÃ NHẬN
Cancel Return Request,Hủy Yêu Cầu Trả Hàng
Completed,Đã Hoàn Thành
Send,Gửi
Returns: How it works,Trả Hàng: Cách Thức Hoạt Động
Returns:,Trả Hàng:
how it works,Cách Thức Hoạt Động
"Returns: how it works","Trả Hàng: Cách Thức Hoạt Động"
Your request has been created and is pending approval. Store administrators will check it and inform you if the product(s) can be sent back. In case any details are needed, we will contact you. Please wait for further instructions,Yêu cầu của bạn đã được tạo và đang chờ phê duyệt. Các quản trị viên của cửa hàng sẽ kiểm tra và thông báo cho bạn nếu sản phẩm có thể được gửi trả lại. Nếu cần thêm thông tin, chúng tôi sẽ liên hệ với bạn. Vui lòng chờ hướng dẫn thêm.
"Your request has been created and is pending approval. Store administrators will check it and inform you if the product(s) can be sent back. In case any details are needed, we will contact you. Please wait for further instructions","Yêu cầu của bạn đã được tạo và đang chờ phê duyệt. Các quản trị viên của cửa hàng sẽ kiểm tra và thông báo cho bạn nếu sản phẩm có thể được gửi trả lại. Nếu cần thêm thông tin, chúng tôi sẽ liên hệ với bạn. Vui lòng chờ hướng dẫn thêm"
"Your request has been created and is pending approval. Store administrators will check it and inform you if the product(s) can be sent back. In case any details are needed, we will contact you. Please wait for further instructions.","Yêu cầu của bạn đã được tạo và đang chờ phê duyệt. Các quản trị viên của cửa hàng sẽ kiểm tra và thông báo cho bạn nếu sản phẩm có thể được gửi trả lại. Nếu cần thêm thông tin, chúng tôi sẽ liên hệ với bạn. Vui lòng chờ hướng dẫn thêm"
